iter	Passed	Remaining
569	2975	2244
570	2980	2239
571	2982	2231
572	2985	2224
573	2991	2219
574	2999	2216
575	3003	2210
576	3006	2203
577	3008	2196
578	3011	2189
579	3013	2182
580	3015	2174
581	3017	2167
582	3019	2159
583	3021	2152
584	3026	2146
585	3028	2139
586	3034	2135
587	3041	2130
588	3044	2124
589	3047	2117
590	3051	2111
591	3058	2107
592	3060	2100
593	3062	2093
594	3071	2090
595	3075	2084
596	3076	2077
597	3078	2069
598	3080	2062
599	3082	2054
600	3088	2050
601	3091	2044
602	3099	2040
603	3105	2035
604	3109	2029
605	3111	2022
606	3114	2016
607	3118	2010
608	3120	2003
609	3121	1996
610	3123	1988
611	3125	1981
612	3127	1974
613	3129	1967
614	3133	1961
615	3134	1954
616	3137	1947
617	3140	1941
618	3142	1934
619	3145	1927
620	3149	1922
621	3151	1915
622	3153	1908
623	3156	1901
624	3158	1895
625	3160	1888
626	3164	1882
627	3166	1875
628	3168	1869
629	3173	1863
630	3179	1859
631	3181	1852
632	3182	1845
633	3184	1838
634	3188	1832
635	3191	1826
636	3207	1827
637	3212	1822
638	3215	1816
639	3219	1811
640	3227	1807
641	3229	1800
642	3231	1793
643	3233	1787
644	3235	1780
645	3237	1773
646	3239	1767
647	3246	1763
648	3251	1758
649	3258	1754
650	3260	1747
651	3264	1742
652	3269	1737
653	3275	1733
654	3279	1727
655	3282	1721
656	3284	1714
657	3290	1710
658	3292	1703
659	3294	1697
660	3296	1690
661	3302	1686
662	3310	1682
663	3313	1676
664	3314	1669
665	3316	1663
666	3321	1658
667	3324	1652
668	3326	1645
669	3328	1639
670	3330	1632
671	3332	1626
672	3336	1621
673	3338	1614
674	3340	1608
675	3344	1603
676	3346	1596
677	3352	1591
678	3356	1586
679	3359	1581
680	3364	1575
681	3369	1571
682	3374	1566
683	3379	1561
684	3384	1556
685	3387	1550
686	3389	1544
687	3391	1537
688	3400	1534
689	3402	1528
690	3406	1523
691	3408	1517
692	3410	1511
693	3416	1506
694	3418	1500
695	3420	1493
696	3422	1487
697	3424	1481
698	3426	1475
699	3431	1470
700	3433	1464
701	3435	1458
702	3439	1452
703	3441	1447
